date,region_code,icb_code,capacity,capacity_per_population,population,num_ward_patients,occupancy,suppressed
2024-01-01,Y62,QYG,401,17.6,2274535,255,0.636,False
2024-01-01,Y62,QOP,767,29.6,2586911,442,0.576,False
2024-01-01,Y62,QE1,400,26.5,1512265,233,0.583,False
2024-01-01,Y63,QOQ,184,12.3,1495717,80,0.435,False
2024-01-01,Y63,QHM,440,16.6,2648569,203,0.461,False
2024-01-01,Y63,QF7,250,20.3,1232761,167,0.668,False
2024-01-01,Y63,QWO,358,16.7,2146896,292,0.816,False
2024-01-01,Y60,QHL,170,13.4,1266823,154,0.906,False
2024-01-01,Y60,QWU,175,19.8,885413,141,0.806,False
2024-01-01,Y60,QGH,134,19.5,687028,89,0.664,False
2024-01-01,Y60,QJ2,165,17.8,928090,103,0.624,False
2024-01-01,Y60,QK1,155,15.6,990432,116,0.748,False
2024-01-01,Y60,QJM,169,24.8,681181,130,0.769,False
2024-01-01,Y60,QPM,338,50.5,669366,0,0,False
2024-01-01,Y60,QT1,195,18.7,1042908,193,0.99,False
2024-01-01,Y60,QOC,135,31,435552,101,0.748,False
2024-01-01,Y60,QNC,219,22.5,975001,144,0.658,False
2024-01-01,Y60,QUA,341,32.7,1042826,339,0.994,False
2024-01-01,Y61,QJG,161,18.3,880828,121,0.752,False
2024-01-01,Y61,QM7,497,37.7,1318118,403,0.811,False
2024-01-01,Y61,QMM,208,22.7,916925,136,0.654,False
2024-01-01,Y61,QH8,180,17.5,1026575,179,0.994,False
2024-01-01,Y61,QHG,360,40.9,879500,282,0.783,False
2024-01-01,Y61,QUE,198,23.3,850062,155,0.783,False
2024-01-01,Y56,QMJ,178,11.9,1491711,110,0.618,False
2024-01-01,Y56,QKK,472,27.4,1720531,388,0.822,False
2024-01-01,Y56,QWE,390,27.2,1436085,359,0.921,False
2024-01-01,Y56,QMF,326,16.7,1949531,218,0.669,False
2024-01-01,Y56,QRV,578,24.2,2390057,286,0.495,False
2024-01-01,Y59,QU9,476,29.5,1614333,435,0.914,False
2024-01-01,Y59,QNQ,239,35.8,667037,224,0.937,False
2024-01-01,Y59,QKS,438,27.2,1612785,334,0.763,False
2024-01-01,Y59,QRL,347,21.5,1614176,343,0.988,False
2024-01-01,Y59,QXU,226,24.4,925154,179,0.792,False
2024-01-01,Y59,QNX,195,12.7,1537758,160,0.821,False
2024-01-01,Y58,QT6,212,41.9,506051,108,0.509,False
2024-01-01,Y58,QVV,144,20.6,699617,79,0.549,False
2024-01-01,Y58,QJK,216,20,1082047,96,0.444,False
2024-01-01,Y58,QSL,95,18.9,501321,55,0.579,False
2024-01-01,Y58,QOX,181,22.1,819157,112,0.619,False
2024-01-01,Y58,QUY,121,13.6,889463,90,0.744,False
2024-01-01,Y58,QR1,201,35.5,565809,135,0.672,False
