date,region_code,icb_code,capacity,capacity_per_population,population,num_ward_patients,occupancy,suppressed
2023-09-01,Y60,QWU,145,16.376538406370813,885413,148,1.0,True
2023-09-01,Y60,QGH,116,16.884319125275827,687028,128,1.0,True
2023-09-01,Y59,QRL,362,22.426302955811508,1614176,369,1.0,True
2023-09-01,Y62,QYG,251,11.03522258395672,2274535,126,0.50199203187251,False
2023-09-01,Y62,QOP,665,25.706334698024015,2586911,412,0.6195488721804512,False
2023-09-01,Y62,QE1,398,26.31813868601072,1512265,181,0.4547738693467337,False
2023-09-01,Y63,QOQ,147,9.828062394156113,1495717,110,0.7482993197278912,False
2023-09-01,Y63,QHM,472,17.820944064511817,2648569,169,0.3580508474576271,False
2023-09-01,Y63,QF7,180,14.601370419732618,1232761,126,0.7,False
2023-09-01,Y63,QWO,312,14.53260893867239,2146896,275,0.8814102564102564,False
2023-09-01,Y60,QHL,170,13.419396395550129,1266823,82,0.4823529411764706,False
2023-09-01,Y60,QJ2,116,12.498787833076534,928090,76,0.6551724137931034,False
2023-09-01,Y60,QK1,135,13.630415818551903,990432,116,0.8592592592592593,False
2023-09-01,Y60,QJM,146,21.433363525993826,681181,40,0.273972602739726,False
2023-09-01,Y60,QPM,348,51.98949453662122,669366,47,0.13505747126436782,False
2023-09-01,Y60,QT1,113,10.835088042281773,1042908,72,0.6371681415929203,False
2023-09-01,Y60,QOC,164,37.65336859892734,435552,108,0.6585365853658537,False
2023-09-01,Y60,QNC,199,20.410235476681564,975001,115,0.5778894472361809,False
2023-09-01,Y60,QUA,565,54.179700160908915,1042826,322,0.5699115044247788,False
2023-09-01,Y61,QJG,251,28.495915207055177,880828,221,0.8804780876494024,False
2023-09-01,Y61,QM7,447,33.911986635490905,1318118,335,0.7494407158836689,False
2023-09-01,Y61,QMM,130,14.177822613627068,916925,85,0.6538461538461539,False
2023-09-01,Y61,QH8,180,17.534033071134598,1026575,129,0.7166666666666667,False
2023-09-01,Y61,QHG,360,40.93234792495736,879500,341,0.9472222222222222,False
2023-09-01,Y61,QUE,124,14.587171288682471,850062,107,0.8629032258064516,False
2023-09-01,Y56,QMJ,159,10.658901087409022,1491711,108,0.6792452830188679,False
2023-09-01,Y56,QKK,462,26.852175287745467,1720531,330,0.7142857142857143,False
2023-09-01,Y56,QWE,347,24.16291514778025,1436085,157,0.45244956772334294,False
2023-09-01,Y56,QMF,297,15.234433307292884,1949531,200,0.6734006734006734,False
2023-09-01,Y56,QRV,551,23.053843485741137,2390057,216,0.39201451905626133,False
2023-09-01,Y59,QU9,409,25.335541056275254,1614333,327,0.7995110024449877,False
2023-09-01,Y59,QNQ,226,33.881179005062684,667037,191,0.8451327433628318,False
2023-09-01,Y59,QKS,309,19.15940438434137,1612785,262,0.8478964401294499,False
2023-09-01,Y59,QXU,188,20.320941162228127,925154,166,0.8829787234042553,False
2023-09-01,Y59,QNX,113,7.348360405213303,1537758,91,0.8053097345132744,False
2023-09-01,Y58,QT6,125,24.701067678949357,506051,86,0.688,False
2023-09-01,Y58,QVV,134,19.153336754252685,699617,57,0.4253731343283582,False
2023-09-01,Y58,QJK,150,13.862614100866228,1082047,67,0.44666666666666666,False
2023-09-01,Y58,QSL,96,19.14940726600322,501321,69,0.71875,False
2023-09-01,Y58,QOX,147,17.945277889342336,819157,91,0.6190476190476191,False
2023-09-01,Y58,QUY,121,13.6037137014131,889463,67,0.5537190082644629,False
2023-09-01,Y58,QR1,91,16.08316587399635,565809,82,0.9010989010989011,False
