date,region_code,icb_code,capacity,capacity_per_population,population,num_ward_patients,occupancy,suppressed
2023-08-01,Y60,QGH,116,16.9,687028,152,1.0,True
2023-08-01,Y60,QT1,88,8.4,1042908,97,1.0,True
2023-08-01,Y62,QYG,249,10.9,2274535,100,0.402,False
2023-08-01,Y62,QOP,525,20.3,2586911,295,0.562,False
2023-08-01,Y62,QE1,398,26.3,1512265,175,0.44,False
2023-08-01,Y63,QOQ,147,9.8,1495717,117,0.796,False
2023-08-01,Y63,QHM,493,18.6,2648569,186,0.377,False
2023-08-01,Y63,QF7,170,13.8,1232761,86,0.506,False
2023-08-01,Y63,QWO,275,12.8,2146896,182,0.662,False
2023-08-01,Y60,QHL,170,13.4,1266823,115,0.676,False
2023-08-01,Y60,QWU,147,16.6,885413,131,0.891,False
2023-08-01,Y60,QJ2,121,13,928090,57,0.471,False
2023-08-01,Y60,QK1,113,11.4,990432,73,0.646,False
2023-08-01,Y60,QJM,91,13.4,681181,39,0.429,False
2023-08-01,Y60,QPM,352,52.6,669366,293,0.832,False
2023-08-01,Y60,QOC,148,34,435552,56,0.378,False
2023-08-01,Y60,QNC,139,14.3,975001,65,0.468,False
2023-08-01,Y60,QUA,565,54.2,1042826,303,0.536,False
2023-08-01,Y61,QJG,130,14.8,880828,94,0.723,False
2023-08-01,Y61,QM7,433,32.8,1318118,333,0.769,False
2023-08-01,Y61,QMM,115,12.5,916925,71,0.617,False
2023-08-01,Y61,QH8,180,17.5,1026575,160,0.889,False
2023-08-01,Y61,QHG,339,38.5,879500,323,0.953,False
2023-08-01,Y61,QUE,129,15.2,850062,106,0.822,False
2023-08-01,Y56,QMJ,159,10.7,1491711,107,0.673,False
2023-08-01,Y56,QKK,442,25.7,1720531,321,0.726,False
2023-08-01,Y56,QWE,347,24.2,1436085,132,0.38,False
2023-08-01,Y56,QMF,292,15,1949531,201,0.688,False
2023-08-01,Y56,QRV,551,23.1,2390057,232,0.421,False
2023-08-01,Y59,QU9,366,22.7,1614333,311,0.85,False
2023-08-01,Y59,QNQ,339,50.8,667037,224,0.661,False
2023-08-01,Y59,QKS,282,17.5,1612785,217,0.77,False
2023-08-01,Y59,QRL,362,22.4,1614176,348,0.961,False
2023-08-01,Y59,QXU,206,22.3,925154,171,0.83,False
2023-08-01,Y59,QNX,101,6.6,1537758,61,0.604,False
2023-08-01,Y58,QT6,125,24.7,506051,102,0.816,False
2023-08-01,Y58,QVV,128,18.3,699617,47,0.367,False
2023-08-01,Y58,QJK,129,11.9,1082047,77,0.597,False
2023-08-01,Y58,QSL,89,17.8,501321,76,0.854,False
2023-08-01,Y58,QOX,142,17.3,819157,81,0.57,False
2023-08-01,Y58,QUY,121,13.6,889463,61,0.504,False
2023-08-01,Y58,QR1,71,12.5,565809,51,0.718,False
