date,region_code,icb_code,capacity,capacity_per_population,population,num_ward_patients,occupancy,suppressed
2023-12-01,Y61,QJG,161,18.3,880828,372,1.0,True
2023-12-01,Y59,QRL,343,21.2,1614176,375,1.0,True
2023-12-01,Y62,QYG,396,17.4,2274535,179,0.452,False
2023-12-01,Y62,QOP,758,29.3,2586911,390,0.515,False
2023-12-01,Y62,QE1,400,26.5,1512265,234,0.585,False
2023-12-01,Y63,QOQ,167,11.2,1495717,94,0.563,False
2023-12-01,Y63,QHM,490,18.5,2648569,195,0.398,False
2023-12-01,Y63,QF7,300,24.3,1232761,172,0.573,False
2023-12-01,Y63,QWO,351,16.3,2146896,296,0.843,False
2023-12-01,Y60,QHL,170,13.4,1266823,136,0.8,False
2023-12-01,Y60,QWU,170,19.2,885413,155,0.912,False
2023-12-01,Y60,QGH,134,19.5,687028,84,0.627,False
2023-12-01,Y60,QJ2,157,16.9,928090,57,0.363,False
2023-12-01,Y60,QK1,155,15.6,990432,122,0.787,False
2023-12-01,Y60,QJM,145,21.3,681181,100,0.69,False
2023-12-01,Y60,QPM,338,50.5,669366,238,0.704,False
2023-12-01,Y60,QT1,186,17.8,1042908,152,0.817,False
2023-12-01,Y60,QOC,115,26.4,435552,90,0.783,False
2023-12-01,Y60,QNC,224,23,975001,144,0.643,False
2023-12-01,Y60,QUA,533,51.1,1042826,443,0.831,False
2023-12-01,Y61,QM7,516,39.1,1318118,477,0.924,False
2023-12-01,Y61,QMM,217,23.7,916925,152,0.7,False
2023-12-01,Y61,QH8,180,17.5,1026575,167,0.928,False
2023-12-01,Y61,QHG,360,40.9,879500,292,0.811,False
2023-12-01,Y61,QUE,198,23.3,850062,163,0.823,False
2023-12-01,Y56,QMJ,175,11.7,1491711,125,0.714,False
2023-12-01,Y56,QKK,473,27.5,1720531,406,0.858,False
2023-12-01,Y56,QWE,385,26.8,1436085,338,0.878,False
2023-12-01,Y56,QMF,356,18.3,1949531,213,0.598,False
2023-12-01,Y56,QRV,588,24.6,2390057,300,0.51,False
2023-12-01,Y59,QU9,497,30.8,1614333,462,0.93,False
2023-12-01,Y59,QNQ,219,32.8,667037,197,0.9,False
2023-12-01,Y59,QKS,373,23.1,1612785,252,0.676,False
2023-12-01,Y59,QXU,252,27.2,925154,202,0.802,False
2023-12-01,Y59,QNX,182,11.8,1537758,164,0.901,False
2023-12-01,Y58,QT6,212,41.9,506051,101,0.476,False
2023-12-01,Y58,QVV,134,19.2,699617,67,0.5,False
2023-12-01,Y58,QJK,208,19.2,1082047,105,0.505,False
2023-12-01,Y58,QSL,101,20.1,501321,76,0.752,False
2023-12-01,Y58,QOX,169,20.6,819157,121,0.716,False
2023-12-01,Y58,QUY,121,13.6,889463,75,0.62,False
2023-12-01,Y58,QR1,196,34.6,565809,103,0.526,False
